結束日期,USD/TWD,USD/EUR,USD/GBP,USD/AUD,USD/NZD
20180722,30.5784,0.8530,0.7613,1.3478,1.4682
20180721,30.5762,0.8531,0.7613,1.3480,1.4681
20180720,30.6552,0.8559,0.7652,1.3534,1.4751
20180719,30.6871,0.8599,0.7677,1.3567,1.4809
20180718,30.6125,0.8591,0.7650,1.3552,1.4752
20180717,30.5410,0.8550,0.7582,1.3503,1.4705
20180716,30.5606,0.8545,0.7550,1.3469,1.4759
20180715,30.5950,0.8557,0.7556,1.3475,1.4780
20180714,30.5955,0.8557,0.7555,1.3475,1.4780
20180713,30.5987,0.8576,0.7584,1.3503,1.4796
20180712,30.5460,0.8565,0.7570,1.3528,1.4777
20180711,30.5726,0.8538,0.7551,1.3521,1.4727
20180710,30.3903,0.8521,0.7542,1.3410,1.4634
20180709,30.3627,0.8503,0.7525,1.3394,1.4617
20180708,30.4444,0.8514,0.7524,1.3460,1.4625
20180707,30.4427,0.8514,0.7525,1.3461,1.4625
20180706,30.4906,0.8530,0.7547,1.3489,1.4661
20180705,30.5505,0.8557,0.7558,1.3541,1.4748
20180704,30.5305,0.8578,0.7566,1.3531,1.4782
20180703,30.5700,0.8583,0.7593,1.3561,1.4851
20180702,30.5462,0.8595,0.7604,1.3595,1.4851
20180701,30.4808,0.8559,0.7571,1.3502,1.4757
20180630,30.4792,0.8559,0.7571,1.3500,1.4759
20180629,30.4825,0.8584,0.7602,1.3538,1.4778
20180628,30.5812,0.8645,0.7639,1.3608,1.4784
20180627,30.4978,0.8611,0.7589,1.3570,1.4680
20180626,30.4319,0.8564,0.7547,1.3512,1.4555
20180625,30.3951,0.8565,0.7538,1.3481,1.4498
20180624,30.3138,0.8577,0.7539,1.3440,1.4470
20180623,30.3127,0.8578,0.7539,1.3440,1.4472
20180622,30.3167,0.8589,0.7535,1.3477,1.4489
20180621,30.3195,0.8637,0.7576,1.3564,1.4581
20180620,30.1916,0.8637,0.7591,1.3542,1.4525
20180619,30.2063,0.8630,0.7575,1.3548,1.4475
20180618,30.1775,0.8618,0.7546,1.3452,1.4413
20180617,30.1489,0.8615,0.7529,1.3435,1.4398
20180616,30.1485,0.8614,0.7529,1.3435,1.4396
20180615,30.0711,0.8626,0.7536,1.3410,1.4394
20180614,29.9180,0.8536,0.7490,1.3277,1.4261
20180613,29.8656,0.8499,0.7485,1.3198,1.4241
20180612,29.8508,0.8496,0.7476,1.3159,1.4240
