日期	牌價幣別	商品重量	本行買入價格	本行賣出價格
20111230	新臺幣 (TWD)	1公克	1519.000	1538.000
20111229	新臺幣 (TWD)	1公克	1502.000	1520.000
20111228	新臺幣 (TWD)	1公克	1537.000	1556.000
20111227	新臺幣 (TWD)	1公克	1543.000	1567.000
20111226	新臺幣 (TWD)	1公克	1559.000	1585.000
20111223	新臺幣 (TWD)	1公克	1561.000	1580.000
20111222	新臺幣 (TWD)	1公克	1560.000	1579.000
20111221	新臺幣 (TWD)	1公克	1577.000	1596.000
20111220	新臺幣 (TWD)	1公克	1550.000	1569.000
20111219	新臺幣 (TWD)	1公克	1549.000	1568.000
20111216	新臺幣 (TWD)	1公克	1548.000	1567.000
20111215	新臺幣 (TWD)	1公克	1523.000	1542.000
20111214	新臺幣 (TWD)	1公克	1585.000	1605.000
20111213	新臺幣 (TWD)	1公克	1598.000	1618.000
20111212	新臺幣 (TWD)	1公克	1632.000	1652.000
20111209	新臺幣 (TWD)	1公克	1648.000	1668.000
20111208	新臺幣 (TWD)	1公克	1675.000	1696.000
20111207	新臺幣 (TWD)	1公克	1669.000	1690.000
20111206	新臺幣 (TWD)	1公克	1653.000	1673.000
20111205	新臺幣 (TWD)	1公克	1679.000	1700.000
20111202	新臺幣 (TWD)	1公克	1677.000	1698.000
20111201	新臺幣 (TWD)	1公克	1677.000	1698.000
20111130	新臺幣 (TWD)	1公克	1660.000	1680.000
20111129	新臺幣 (TWD)	1公克	1662.000	1682.000
20111128	新臺幣 (TWD)	1公克	1658.000	1678.000
20111125	新臺幣 (TWD)	1公克	1637.000	1657.000
20111124	新臺幣 (TWD)	1公克	1648.000	1668.000
20111123	新臺幣 (TWD)	1公克	1658.000	1678.000
20111122	新臺幣 (TWD)	1公克	1632.000	1652.000
20111121	新臺幣 (TWD)	1公克	1664.000	1685.000
20111118	新臺幣 (TWD)	1公克	1664.000	1684.000
20111117	新臺幣 (TWD)	1公克	1704.000	1725.000
20111116	新臺幣 (TWD)	1公克	1708.000	1729.000
20111115	新臺幣 (TWD)	1公克	1706.000	1727.000
20111114	新臺幣 (TWD)	1公克	1721.000	1742.000
20111111	新臺幣 (TWD)	1公克	1701.000	1722.000
20111110	新臺幣 (TWD)	1公克	1695.000	1716.000
20111109	新臺幣 (TWD)	1公克	1714.000	1735.000
20111108	新臺幣 (TWD)	1公克	1718.000	1739.000
20111107	新臺幣 (TWD)	1公克	1702.000	1723.000
20111104	新臺幣 (TWD)	1公克	1686.000	1707.000
20111103	新臺幣 (TWD)	1公克	1668.000	1689.000
20111102	新臺幣 (TWD)	1公克	1659.000	1679.000
20111101	新臺幣 (TWD)	1公克	1646.000	1666.000
20111031	新臺幣 (TWD)	1公克	1634.000	1654.000
20111028	新臺幣 (TWD)	1公克	1658.000	1678.000
20111027	新臺幣 (TWD)	1公克	1651.000	1671.000
20111026	新臺幣 (TWD)	1公克	1649.000	1669.000
20111025	新臺幣 (TWD)	1公克	1592.000	1612.000
20111024	新臺幣 (TWD)	1公克	1590.000	1610.000
20111021	新臺幣 (TWD)	1公克	1578.000	1597.000
20111020	新臺幣 (TWD)	1公克	1572.000	1591.000
20111019	新臺幣 (TWD)	1公克	1585.000	1605.000
20111018	新臺幣 (TWD)	1公克	1602.000	1622.000
20111017	新臺幣 (TWD)	1公克	1619.000	1639.000
20111014	新臺幣 (TWD)	1公克	1620.000	1640.000
20111013	新臺幣 (TWD)	1公克	1621.000	1641.000
20111012	新臺幣 (TWD)	1公克	1624.000	1644.000
20111011	新臺幣 (TWD)	1公克	1622.000	1642.000
20111007	新臺幣 (TWD)	1公克	1612.000	1632.000
20111006	新臺幣 (TWD)	1公克	1609.000	1629.000
20111005	新臺幣 (TWD)	1公克	1591.000	1611.000
20111004	新臺幣 (TWD)	1公克	1637.000	1657.000
20111003	新臺幣 (TWD)	1公克	1609.000	1629.000
20110930	新臺幣 (TWD)	1公克	1589.000	1609.000
20110929	新臺幣 (TWD)	1公克	1584.000	1603.000
20110928	新臺幣 (TWD)	1公克	1614.000	1634.000
20110927	新臺幣 (TWD)	1公克	1606.000	1626.000
20110926	新臺幣 (TWD)	1公克	1521.000	1540.000
20110923	新臺幣 (TWD)	1公克	1699.000	1720.000
20110922	新臺幣 (TWD)	1公克	1722.000	1743.000
20110921	新臺幣 (TWD)	1公克	1729.000	1750.000
20110920	新臺幣 (TWD)	1公克	1709.000	1730.000
20110919	新臺幣 (TWD)	1公克	1728.000	1749.000
20110916	新臺幣 (TWD)	1公克	1670.000	1691.000
20110915	新臺幣 (TWD)	1公克	1711.000	1732.000
20110914	新臺幣 (TWD)	1公克	1725.000	1746.000
20110913	新臺幣 (TWD)	1公克	1720.000	1741.000
20110909	新臺幣 (TWD)	1公克	1748.000	1770.000
20110908	新臺幣 (TWD)	1公克	1714.000	1735.000
20110907	新臺幣 (TWD)	1公克	1707.000	1728.000
20110906	新臺幣 (TWD)	1公克	1770.000	1792.000
20110905	新臺幣 (TWD)	1公克	1746.000	1768.000
20110902	新臺幣 (TWD)	1公克	1700.000	1721.000
20110901	新臺幣 (TWD)	1公克	1676.000	1697.000
20110831	新臺幣 (TWD)	1公克	1697.000	1718.000
20110830	新臺幣 (TWD)	1公克	1666.000	1687.000
20110829	新臺幣 (TWD)	1公克	1685.000	1707.000
20110826	新臺幣 (TWD)	1公克	1647.000	1667.000
20110825	新臺幣 (TWD)	1公克	1615.000	1635.000
20110824	新臺幣 (TWD)	1公克	1710.000	1731.000
20110823	新臺幣 (TWD)	1公克	1739.000	1760.000
20110822	新臺幣 (TWD)	1公克	1756.000	1778.000
20110819	新臺幣 (TWD)	1公克	1716.000	1737.000
20110818	新臺幣 (TWD)	1公克	1656.000	1676.000
20110817	新臺幣 (TWD)	1公克	1651.000	1671.000
20110816	新臺幣 (TWD)	1公克	1635.000	1656.000
20110815	新臺幣 (TWD)	1公克	1604.000	1624.000
20110812	新臺幣 (TWD)	1公克	1627.000	1647.000
20110811	新臺幣 (TWD)	1公克	1656.000	1676.000
20110810	新臺幣 (TWD)	1公克	1618.000	1638.000
20110809	新臺幣 (TWD)	1公克	1617.000	1637.000
20110808	新臺幣 (TWD)	1公克	1586.000	1606.000
20110805	新臺幣 (TWD)	1公克	1538.000	1557.000
20110804	新臺幣 (TWD)	1公克	1539.000	1558.000
20110803	新臺幣 (TWD)	1公克	1543.000	1562.000
20110802	新臺幣 (TWD)	1公克	1497.000	1515.000
20110801	新臺幣 (TWD)	1公克	1485.000	1503.000
20110729	新臺幣 (TWD)	1公克	1487.000	1505.000
20110728	新臺幣 (TWD)	1公克	1485.000	1503.000
20110727	新臺幣 (TWD)	1公克	1490.000	1508.000
20110726	新臺幣 (TWD)	1公克	1486.000	1504.000
20110725	新臺幣 (TWD)	1公克	1492.000	1510.000
20110722	新臺幣 (TWD)	1公克	1462.000	1480.000
20110721	新臺幣 (TWD)	1公克	1475.000	1493.000
20110720	新臺幣 (TWD)	1公克	1466.000	1484.000
20110719	新臺幣 (TWD)	1公克	1486.000	1504.000
20110718	新臺幣 (TWD)	1公克	1475.000	1493.000
