日期	開盤	最高	最低	收盤	漲跌	漲%	成交量	成交金額	本益比
20171229	81.75	82.20	81.75	82.15	0.45	0.55%	4690	384768	0
20171228	81.25	81.75	81.25	81.70	0.80	0.99%	3095	252392	0
20171227	80.60	80.90	80.55	80.90	0.25	0.31%	3600	290733	0
20171226	81.45	81.45	80.50	80.65	-0.80	-0.98%	2578	208313	0
20171225	81.30	81.55	81.30	81.45	0.15	0.18%	1003	81627	0
20171222	80.80	81.35	80.70	81.30	0.30	0.37%	1645	133060	0
20171221	81.10	81.35	81.00	81.00	-0.05	-0.06%	1241	100664	0
20171220	80.80	81.10	80.75	81.05	0.25	0.31%	4652	376271	0
20171219	81.20	81.40	80.70	80.80	-0.40	-0.49%	4095	331846	0
20171218	81.20	81.25	80.85	81.20	0.10	0.12%	3843	311719	0
20171215	81.65	81.65	80.65	81.10	-0.65	-0.80%	4077	329950	0
20171214	81.55	82.00	81.35	81.75	0.75	0.93%	2246	183713	0
20171213	81.10	81.20	80.90	81.00	0.05	0.06%	1677	135829	0
20171212	81.40	81.50	80.55	80.95	-0.55	-0.67%	3941	318855	0
20171211	81.20	81.65	81.20	81.50	0.60	0.74%	2739	223183	0
20171208	81.50	81.50	80.65	80.90	0.00	0.00%	6280	507950	0
20171207	81.20	81.25	80.45	80.90	0.05	0.06%	7309	590253	0
20171206	82.10	82.10	80.85	80.85	-1.40	-1.70%	13235	1076017	0
20171205	82.55	82.65	82.20	82.25	-0.65	-0.78%	1880	154873	0
20171204	82.65	82.95	82.35	82.90	0.30	0.36%	1504	124232	0
20171201	82.15	82.90	81.65	82.60	0.35	0.43%	5620	462116	0
20171130	83.00	83.00	82.25	82.25	-1.45	-1.73%	8038	663634	0
20171129	83.65	83.95	83.55	83.70	0.10	0.12%	1382	115678	0
20171128	83.95	84.00	83.50	83.60	-0.55	-0.65%	2007	167971	0
20171127	85.15	85.15	84.10	84.15	-1.00	-1.17%	2127	179562	0
20171124	85.25	85.30	84.95	85.15	-0.05	-0.06%	1069	91012	0
20171123	85.15	85.35	84.95	85.20	0.05	0.06%	1552	132162	0
20171122	85.15	85.60	84.90	85.15	0.40	0.47%	4914	419446	0
20171121	83.90	84.80	83.90	84.75	0.75	0.89%	4470	376042	0
20171120	84.40	84.45	83.90	84.00	-0.35	-0.41%	2301	193526	0
20171117	84.30	84.45	84.15	84.35	0.75	0.90%	7196	606872	0
20171116	83.30	83.75	83.20	83.60	0.30	0.36%	2177	181765	0
20171115	83.80	83.85	83.15	83.30	-0.85	-1.01%	6070	506648	0
20171114	84.30	84.30	83.95	84.15	-0.15	-0.18%	1016	85431	0
20171113	84.25	84.40	84.20	84.30	-0.25	-0.30%	979	82529	0
20171110	84.30	84.55	83.95	84.55	0.15	0.18%	923	77817	0
20171109	84.95	85.05	84.40	84.40	-0.55	-0.65%	1258	106727	0
